stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
691,473,"BROAD + STAPLES MILL",,37.581968,-77.493618,,,,,,0
692,421,"BROAD + ENTERPRISE PARKWAY",,37.624753,-77.529333,,,,,,0
693,426,"BROAD + FOUNTAIN SQUARE",,37.626838,-77.531782,,,,,,0
694,410,"BROAD + CAROUSEL LANE",,37.628519,-77.533683,,,,,,0
695,471,"BROAD + SKIPWITH",,37.632593,-77.539907,,,,,,0
696,437,"BROAD + HOMEVIEW",,37.634437,-77.544505,,,,,,0
697,488,"BROAD + TUCKERNUCK",,37.636386,-77.549234,,,,,,0
698,479,"BROAD + SUNDANCE WAY",,37.639140,-77.556176,,,,,,0
699,2001,"PARK + SHEPPARD",,37.560977,-77.474180,,,,,,0
700,2000,"PARK + CLEVELAND",,37.561858,-77.476905,,,,,,0
703,2015,"PATTERSON + NANSEMOND",,37.562449,-77.482283,,,,,,0
705,2032,"PATTERSON + HAMILTON",,37.564433,-77.486085,,,,,,0
707,2044,"PATTERSON + MALVERN",,37.566010,-77.489168,,,,,,0
708,2057,"PATTERSON + SAUER",,37.567480,-77.492030,,,,,,0
710,2064,"PATTERSON + WESTMORELAND",,37.569635,-77.496185,,,,,,0
711,2022,"PATTERSON + CHANTILLY",,37.571415,-77.499650,,,,,,0
712,2059,"PATTERSON + SPOKANE",,37.572909,-77.502578,,,,,,0
713,2035,"PATTERSON + HARLAN CIRCLE",,37.574035,-77.504751,,,,,,0
714,2030,"PATTERSON + GREENWAY LANE",,37.574973,-77.506502,,,,,,0
715,2014,"PATTERSON + WILLOW LAWN",,37.575603,-77.507948,,,,,,0
716,2048,"PATTERSON + MATOAKA",,37.576637,-77.509878,,,,,,0
718,2028,"PATTERSON + GRANITE",,37.578423,-77.512867,,,,,,0
719,2042,"PATTERSON + LIBBIE",,37.579657,-77.514592,,,,,,0
720,2046,"PATTERSON + MAPLE",,37.580820,-77.516280,,,,,,0
721,2017,"PATTERSON + ALGOMA",,37.581945,-77.517993,,,,,,0
723,2050,"PATTERSON + PEPPER",,37.583985,-77.520973,,,,,,0
725,2021,"PATTERSON + CHANTECLER",,37.586093,-77.524183,,,,,,0
726,2037,"PATTERSON + HONAKER",,37.587715,-77.526467,,,,,,0
727,2055,"PATTERSON + RIPLEY",,37.589352,-77.528928,,,,,,0
728,2905,"PATTERSON & REGISTER PKWY",,37.590845,-77.531098,,,,,,0
730,1346,"THREE CHOPT + SKIPWITH",,37.597107,-77.536583,,,,,,0
731,2196,"SKIPWITH + PARKLINE",,37.600253,-77.537581,,,,,,0
732,1345,"Skipwith & Forest",,37.603679,-77.537685,,,,,,0
733,2729,"ROLAND HILLS + 1602",,37.602971,-77.546154,,,,,,0
734,2162,"SANTA ROSA + FRANKLIN FARMS",,37.602235,-77.548232,,,,,,0
735,2731,"THREE CHOPT + SANTA ROSA",,37.600700,-77.548297,,,,,,0
736,2732,"THREE CHOPT + MICHAELS",,37.601179,-77.551691,,,,,,0
737,2252,"THREE CHOPT + WESTBERRY",,37.601788,-77.554407,,,,,,0
738,2259,"THREE CHOPT + RIDGE",,37.603163,-77.559008,,,,,,0
739,2264,"Three Chopt Rd. at Ridge Elementary School",,37.604726,-77.560013,,,,,,0
741,2251,"THREE CHOPT + FARGO",,37.607368,-77.562496,,,,,,0
743,882,"FARGO + PARHAM",,37.607424,-77.564413,,,,,,0
744,2229,"STARLING + STARLING CT",,37.606622,-77.568148,,,,,,0
764,507,"BROOK + BROOKLAND PARK BOULEVARD",,37.572070,-77.449130,,,,,,0
797,569,"BROOKLAND PARK BOULEVARD + NORTH",,37.571582,-77.433172,,,,,,0
804,508,"BROOK + BROOKLAND PARK BOULEVARD",,37.571832,-77.449400,,,,,,0
805,530,"BROOK + SHERWOOD",,37.570242,-77.449297,,,,,,0
809,1977,"OVERBROOK + BROOK",,37.565347,-77.449010,,,,,,0
810,3389,"OVERBROOK + LANGSTON",,37.565370,-77.451800,,,,,,0
822,1657,"MARKEL + BYRD",,37.584283,-77.499476,,,,,,0
823,582,"BYRD + OLD RICHMOND",,37.584543,-77.500908,,,,,,0
824,580,"BYRD + FITZHUGH",,37.583716,-77.501721,,,,,,0
826,181,"9TH + MAIN",,37.539421,-77.435076,,,,,,0
827,2815,"LOMBARDY + KROGERS",,37.555680,-77.454638,,,,,,0
828,2816,"LOMBARDY + W MOORE",,37.557837,-77.452660,,,,,,0
829,2817,"LOMBARDY + ADMIRAL",,37.559918,-77.450691,,,,,,0
831,517,"BROOK + LOMBARDY",,37.563544,-77.448125,,,,,,0
